|   iter    |  target   |    lr     | batchI... | hidden... | num_la... | weight... |
最优参数组合 {'target': np.float64(0.556), 'params': {'lr': np.float64(0.005085876858448043), 'batchIndex': np.float64(2.2989988858751653), 'hiddenDimIndex': np.float64(0.1451066645737985), 'num_layers_index': np.float64(1.8113896144384616), 'weight_decay': np.float64(3.679795712178712e-05)}}



D:\pythonPro\PortfolioStrategy\.venv\Scripts\python.exe D:\pythonPro\PortfolioStrategy\mainByes2.py 
Using device: cuda:1
4 :GPUs are available
|   iter    |  target   |    lr     | batchI... | hidden... | num_la... | weight... |
-------------------------------------------------------------------------------------
| 1         | 0.8627954 | 0.0047531 | 2.1609734 | 0.0003431 | 2.2093302 | -.320e-05 |
| 2         | 0.7841564 | 0.0018310 | 0.5587806 | 1.0366821 | 2.5870698 | -.849e-05 |
| 3         | 0.6332269 | 0.0047727 | 2.0556585 | 0.6133567 | 4.5124697 | -.246e-05 |
| 4         | 0.8410781 | 0.0070342 | 1.2519144 | 1.6760694 | 1.5615477 | -.782e-05 |
| 5         | 0.8098564 | 0.0082067 | 2.9047847 | 0.9402725 | 3.7692904 | -.887e-05 |
| 6         | 0.8076434 | 0.0090514 | 0.2551326 | 0.1171643 | 1.6793216 | -.903e-05 |
| 7         | 0.8493303 | 0.0018851 | 1.2633228 | 2.8736685 | 3.1326611 | -.226e-05 |
| 8         | 0.7615408 | 0.0038396 | 2.0595027 | 2.5038770 | 1.0731531 | -.751e-05 |
| 9         | 0.446     | 0.0098997 | 2.2444969 | 0.8413319 | 4.1571173 | -.929e-05 |
| 10        | 0.8212010 | 0.0050310 | 2.7257865 | 0.8808424 | 2.1511013 | -.170e-05 |
| 11        | 0.7738982 | 0.0014802 | 2.5876936 | 0.6672282 | 1.7882588 | -.778e-05 |
| 12        | 0.8191806 | 0.0046578 | 1.1261219 | 0.6825994 | 3.8867022 | -.535e-05 |
| 13        | 0.5885719 | 0.0098941 | 0.1451096 | 2.2354668 | 1.4827766 | -.740e-05 |
| 14        | 0.8319602 | 0.0069821 | 2.4000248 | 0.3693061 | 2.4161659 | 1e-05     |
| 15        | 0.6775073 | 0.0078850 | 1.1091466 | 0.3591477 | 1.4699925 | -.576e-05 |
| 16        | 0.8624380 | 0.0084445 | 1.8171467 | 0.7175642 | 1.5136810 | -.016e-05 |
| 17        | 0.8591187 | 0.01      | 1.9304904 | 0.4658514 | 2.0147473 | 1e-05     |
| 18        | 0.4864893 | 0.0075779 | 1.9994511 | 2.0117783 | 4.8687554 | -.826e-05 |
| 19        | 0.7331363 | 0.0076421 | 1.1891571 | 1.0924844 | 2.3139337 | -.718e-05 |
| 20        | 0.446     | 0.0025347 | 2.0460141 | 1.9292308 | 4.6748551 | -.411e-05 |
| 21        | 0.8305391 | 0.0075849 | 2.1840701 | 0.0130274 | 2.2003243 | -.570e-05 |
| 22        | 0.8404826 | 0.0028252 | 2.0035147 | 1.9287970 | 2.1322681 | -.988e-05 |
| 23        | 0.7748144 | 0.0028609 | 2.4048470 | 0.7639777 | 1.0229937 | -.002e-05 |
| 24        | 0.8193521 | 0.001     | 1.8643083 | 0.0       | 2.3025328 | 1e-05     |
| 25        | 0.7856551 | 0.0090535 | 1.8656470 | 0.0430412 | 2.3029835 | -.847e-05 |
| 26        | 0.7434305 | 0.001     | 1.9910635 | 0.7467278 | 1.8192149 | 1e-05     |
| 27        | 0.7839564 | 0.001     | 2.1383886 | 0.0       | 2.4950214 | 1e-05     |
| 28        | 0.8311625 | 0.01      | 1.8010181 | 0.3850865 | 1.6852674 | 1e-05     |
| 29        | 0.8010447 | 0.001     | 1.9473485 | 0.0       | 1.9818530 | 1e-05     |
| 30        | 0.8064804 | 0.01      | 1.9014562 | 0.5071024 | 1.2850115 | 1e-05     |
| 31        | 0.6949488 | 0.0057978 | 1.2497733 | 0.6528639 | 3.9318787 | -.316e-05 |
| 32        | 0.7868590 | 0.0021225 | 0.8507229 | 0.7486611 | 3.7858772 | 1e-05     |
| 33        | 0.8394052 | 0.0094639 | 1.6664545 | 1.5045452 | 2.2685696 | -.363e-05 |
| 34        | 0.446     | 0.0025776 | 0.3878967 | 0.8467495 | 4.6122153 | -.675e-05 |
| 35        | 0.8151780 | 0.0041147 | 1.8316405 | 1.6798572 | 1.9985283 | -.301e-05 |
| 36        | 0.8594971 | 0.0098321 | 1.7053670 | 1.8686969 | 2.3491834 | -.968e-05 |
| 37        | 0.8271303 | 0.0033601 | 1.9850084 | 1.6694810 | 2.4189178 | -.079e-05 |
| 38        | 0.8048125 | 0.01      | 1.4138185 | 1.8032734 | 2.0439359 | -.763e-05 |
| 39        | 0.7925351 | 0.001     | 2.3493534 | 0.7464090 | 2.3752725 | 1e-05     |
| 40        | 0.8328884 | 0.0077788 | 0.9139328 | 2.1238366 | 1.2400424 | -.902e-05 |
| 41        | 0.8446329 | 0.0050077 | 0.2225983 | 0.7272850 | 1.2039495 | -.523e-05 |
| 42        | 0.8196673 | 0.0075371 | 1.2405544 | 2.0591477 | 1.4845014 | -.611e-05 |
| 43        | 0.8531905 | 0.0072444 | 1.0908427 | 1.7507850 | 1.2015884 | 1e-05     |
| 44        | 0.7322559 | 0.001     | 0.8795487 | 1.7820649 | 1.5035613 | 1e-05     |
| 45        | 0.8205169 | 0.01      | 1.4549458 | 1.7588023 | 1.2359777 | -.284e-05 |
| 46        | 0.5015461 | 0.01      | 1.2072568 | 2.0465725 | 1.0       | 1e-05     |
| 47        | 0.6949362 | 0.01      | 1.2256414 | 1.4785252 | 1.2673412 | -.970e-05 |
| 48        | 0.7999958 | 0.0070777 | 1.5282878 | 1.8368436 | 1.5925434 | -.214e-05 |
| 49        | 0.8415541 | 0.0064234 | 2.8601868 | 1.7699431 | 3.4476604 | -.992e-05 |
| 50        | 0.7142409 | 0.001     | 1.7073056 | 2.0738570 | 2.1088096 | 0.0001    |
| 51        | 0.6814245 | 0.001     | 1.6426387 | 1.6751514 | 2.5498930 | 0.0001    |
| 52        | 0.4634367 | 0.0078859 | 1.2537599 | 1.6795319 | 1.5621975 | -.915e-05 |
| 53        | 0.7442000 | 0.0093131 | 0.5484599 | 1.7207983 | 1.5298726 | -.007e-05 |
| 54        | 0.8362627 | 0.0045324 | 0.9717815 | 1.9264950 | 1.2795676 | -.028e-05 |
| 55        | 0.8208205 | 0.0070614 | 2.9772253 | 0.7681128 | 4.7068839 | -.056e-05 |
| 56        | 0.4868284 | 0.0064369 | 0.3963800 | 2.4266742 | 4.6613459 | -.879e-05 |
| 57        | 0.8565623 | 0.0076560 | 2.7498876 | 1.0113095 | 2.6180475 | -.614e-05 |
| 58        | 0.7777877 | 0.0038185 | 2.7020107 | 0.7603599 | 2.8401738 | -.317e-05 |
| 59        | 0.4868284 | 0.0075643 | 0.2802324 | 1.9465293 | 3.2444596 | -.637e-05 |
| 60        | 0.8169732 | 0.0060536 | 2.7264934 | 0.9781556 | 4.6894773 | -.328e-05 |
=====================================================================================
最优参数组合 {'target': np.float64(0.86279549496147), 'params': {'lr': np.float64(0.004753198042323166), 'batchIndex': np.float64(2.1609734803264744), 'hiddenDimIndex': np.float64(0.0003431244520346599), 'num_layers_index': np.float64(2.209330290527359), 'weight_decay': np.float64(2.3208030173540175e-05)

